time,LA.acc,pos,decMax,accMax,vMax,vel,target,dns,HA
57.000000,-9.368153,87.350635,-9.000000,8.000000,20.000000,17.926063,100.000000,12.649365,2
58.000000,-8.603583,89.096400,-9.000000,8.000000,20.000000,16.989248,100.000000,10.903600,2
59.000000,-9.916748,90.752307,-9.000000,8.000000,20.000000,16.128890,100.000000,9.247693,2
60.000000,-8.297240,92.315613,-9.000000,8.000000,20.000000,15.137215,100.000000,7.684387,2
61.000000,-9.018805,93.787848,-9.000000,8.000000,20.000000,14.307491,100.000000,6.212152,2
62.000000,-9.108083,95.173503,-9.000000,8.000000,20.000000,13.405610,100.000000,4.826497,2
63.000000,-9.104900,96.468524,-9.000000,8.000000,20.000000,12.494802,100.000000,3.531476,2
64.000000,-9.602643,97.672479,-9.000000,8.000000,20.000000,11.584312,100.000000,2.327521,2
65.000000,-9.948385,98.782897,-9.000000,8.000000,20.000000,10.624048,100.000000,1.217103,2
66.000000,-9.254174,99.795560,-9.000000,8.000000,20.000000,9.629209,100.000000,0.204440,2
67.000000,-8.912574,100.712210,-9.000000,8.000000,20.000000,8.703792,100.000000,-0.712210,2
68.000000,-9.891892,101.538026,-9.000000,8.000000,20.000000,7.812534,100.000000,-1.538026,2
69.000000,-8.911073,102.269820,-9.000000,8.000000,20.000000,6.823345,100.000000,-2.269820,2
70.000000,-8.364934,102.907600,-9.000000,8.000000,20.000000,5.932238,100.000000,-2.907600,2
71.000000,-8.823136,103.458999,-9.000000,8.000000,20.000000,5.095745,100.000000,-3.458999,2
72.000000,-8.940240,103.924457,-9.000000,8.000000,20.000000,4.213431,100.000000,-3.924457,2
73.000000,-8.670852,104.301099,-9.000000,8.000000,20.000000,3.319407,100.000000,-4.301099,2
74.000000,-9.083714,104.589686,-9.000000,8.000000,20.000000,2.452322,100.000000,-4.589686,2
75.000000,-8.897320,104.789499,-9.000000,8.000000,20.000000,1.543950,100.000000,-4.789499,2
76.000000,-9.179963,104.899408,-9.000000,8.000000,20.000000,0.654218,100.000000,-4.899408,2
77.000000,-8.907763,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
78.000000,-8.120332,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
79.000000,-9.418973,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
80.000000,-8.714796,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
81.000000,-8.668540,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
82.000000,-9.016400,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
83.000000,-8.519354,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
84.000000,-8.249857,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
85.000000,-9.489952,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
86.000000,-9.021460,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
87.000000,-9.406153,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
88.000000,-9.536634,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
89.000000,-8.293332,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
90.000000,-9.039365,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
91.000000,-10.852654,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
92.000000,-9.083259,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
93.000000,-9.380537,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
94.000000,-8.834499,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
95.000000,-9.664137,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
96.000000,-9.901887,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
97.000000,-8.413730,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
98.000000,-9.539004,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
99.000000,-8.846327,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
100.000000,-9.224487,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
101.000000,-8.429587,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
102.000000,-7.906656,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
103.000000,-9.057575,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
104.000000,-9.275837,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
105.000000,-8.420461,104.932119,-9.000000,8.000000,20.000000,0.000000,100.000000,-4.932119,2
