time, LA.acc, pos, decMax, accMax, vMax, vel, target, HA
0.000000, 0.530129, 0.000000, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 0
1.000000, 1.690261, 0.002651, -10.000000, 10.000000, 50.000000, 0.053013, 100.000000, 0
2.000000, 1.289441, 0.016403, -10.000000, 10.000000, 50.000000, 0.222039, 100.000000, 0
3.000000, -0.076460, 0.045054, -10.000000, 10.000000, 50.000000, 0.350983, 100.000000, 0
4.000000, -0.191265, 0.079770, -10.000000, 10.000000, 50.000000, 0.343337, 100.000000, 0
5.000000, -0.725579, 0.113148, -10.000000, 10.000000, 50.000000, 0.324211, 100.000000, 0
6.000000, 0.501766, 0.141941, -10.000000, 10.000000, 50.000000, 0.251653, 100.000000, 0
7.000000, 2.617012, 0.169615, -10.000000, 10.000000, 50.000000, 0.301829, 100.000000, 0
8.000000, 4.458971, 0.212883, -10.000000, 10.000000, 50.000000, 0.563530, 100.000000, 0
9.000000, 3.240207, 0.291531, -10.000000, 10.000000, 50.000000, 1.009428, 100.000000, 0
10.000000, 4.087532, 0.408675, -10.000000, 10.000000, 50.000000, 1.333448, 100.000000, 0
11.000000, 4.562997, 0.562457, -10.000000, 10.000000, 50.000000, 1.742202, 100.000000, 0
12.000000, 5.197362, 0.759492, -10.000000, 10.000000, 50.000000, 2.198501, 100.000000, 0
13.000000, 6.963286, 1.005329, -10.000000, 10.000000, 50.000000, 2.718237, 100.000000, 0
14.000000, 9.274443, 1.311969, -10.000000, 10.000000, 50.000000, 3.414566, 100.000000, 0
15.000000, 9.515461, 1.699798, -10.000000, 10.000000, 50.000000, 4.342010, 100.000000, 0
16.000000, 7.842531, 2.181577, -10.000000, 10.000000, 50.000000, 5.293556, 100.000000, 0
17.000000, 7.709156, 2.750145, -10.000000, 10.000000, 50.000000, 6.077809, 100.000000, 0
18.000000, 7.587920, 3.396472, -10.000000, 10.000000, 50.000000, 6.848725, 100.000000, 0
19.000000, 7.598322, 4.119284, -10.000000, 10.000000, 50.000000, 7.607517, 100.000000, 0
20.000000, 8.351982, 4.918027, -10.000000, 10.000000, 50.000000, 8.367349, 100.000000, 0
21.000000, 8.844502, 5.796522, -10.000000, 10.000000, 50.000000, 9.202547, 100.000000, 0
22.000000, 11.116325, 6.760999, -10.000000, 10.000000, 50.000000, 10.086998, 100.000000, 0
23.000000, 10.375462, 7.825281, -10.000000, 10.000000, 50.000000, 11.198630, 100.000000, 0
24.000000, 10.137175, 8.997021, -10.000000, 10.000000, 50.000000, 12.236176, 100.000000, 0
25.000000, 11.122236, 10.271324, -10.000000, 10.000000, 50.000000, 13.249894, 100.000000, 0
26.000000, 10.624149, 11.651925, -10.000000, 10.000000, 50.000000, 14.362118, 100.000000, 0
27.000000, 10.258559, 13.141257, -10.000000, 10.000000, 50.000000, 15.424532, 100.000000, 0
28.000000, 8.668293, 14.735004, -10.000000, 10.000000, 50.000000, 16.450388, 100.000000, 0
29.000000, 9.590895, 16.423384, -10.000000, 10.000000, 50.000000, 17.317218, 100.000000, 0
30.000000, 10.468064, 18.203060, -10.000000, 10.000000, 50.000000, 18.276307, 100.000000, 0
31.000000, 10.684030, 20.083031, -10.000000, 10.000000, 50.000000, 19.323113, 100.000000, 0
32.000000, 10.795431, 22.068763, -10.000000, 10.000000, 50.000000, 20.391516, 100.000000, 0
33.000000, 10.605650, 24.161891, -10.000000, 10.000000, 50.000000, 21.471060, 100.000000, 0
34.000000, 8.921220, 26.362026, -10.000000, 10.000000, 50.000000, 22.531624, 100.000000, 0
35.000000, 10.088190, 28.659794, -10.000000, 10.000000, 50.000000, 23.423747, 100.000000, 0
36.000000, 8.491604, 31.052610, -10.000000, 10.000000, 50.000000, 24.432566, 100.000000, 0
37.000000, 9.995779, 33.538324, -10.000000, 10.000000, 50.000000, 25.281726, 100.000000, 0
38.000000, 9.493200, 36.116476, -10.000000, 10.000000, 50.000000, 26.281304, 100.000000, 0
39.000000, 10.345700, 38.792072, -10.000000, 10.000000, 50.000000, 27.230624, 100.000000, 0
40.000000, 8.900846, 41.566863, -10.000000, 10.000000, 50.000000, 28.265194, 100.000000, 0
41.000000, 10.634087, 44.437887, -10.000000, 10.000000, 50.000000, 29.155278, 100.000000, 0
42.000000, 11.555621, 47.406585, -10.000000, 10.000000, 50.000000, 30.218687, 100.000000, 0
43.000000, 10.256785, 50.486232, -10.000000, 10.000000, 50.000000, 31.374249, 100.000000, 2
44.000000, 9.951764, 53.674941, -10.000000, 10.000000, 50.000000, 32.399928, 100.000000, 2
45.000000, 8.002099, 56.964692, -10.000000, 10.000000, 50.000000, 33.395104, 100.000000, 2
46.000000, 6.741973, 60.344213, -10.000000, 10.000000, 50.000000, 34.195314, 100.000000, 2
47.000000, 5.658036, 63.797454, -10.000000, 10.000000, 50.000000, 34.869511, 100.000000, 2
48.000000, 5.368877, 67.312696, -10.000000, 10.000000, 50.000000, 35.435315, 100.000000, 2
49.000000, 5.218202, 70.883072, -10.000000, 10.000000, 50.000000, 35.972203, 100.000000, 2
50.000000, 4.317597, 74.506383, -10.000000, 10.000000, 50.000000, 36.494023, 100.000000, 2
51.000000, 1.883483, 78.177373, -10.000000, 10.000000, 50.000000, 36.925783, 100.000000, 2
52.000000, -0.097332, 81.879369, -10.000000, 10.000000, 50.000000, 37.114131, 100.000000, 2
53.000000, -0.944748, 85.590295, -10.000000, 10.000000, 50.000000, 37.104398, 100.000000, 2
54.000000, -2.329071, 89.296011, -10.000000, 10.000000, 50.000000, 37.009923, 100.000000, 2
55.000000, -2.583218, 92.985358, -10.000000, 10.000000, 50.000000, 36.777016, 100.000000, 2
56.000000, -2.986382, 96.650144, -10.000000, 10.000000, 50.000000, 36.518694, 100.000000, 2
57.000000, -5.117162, 100.287081, -10.000000, 10.000000, 50.000000, 36.220056, 100.000000, 2
58.000000, -5.292694, 103.883501, -10.000000, 10.000000, 50.000000, 35.708340, 100.000000, 2
59.000000, -6.864095, 107.427871, -10.000000, 10.000000, 50.000000, 35.179070, 100.000000, 2
60.000000, -8.404630, 110.911458, -10.000000, 10.000000, 50.000000, 34.492661, 100.000000, 2
61.000000, -8.028648, 114.318701, -10.000000, 10.000000, 50.000000, 33.652198, 100.000000, 2
62.000000, -9.823596, 117.643777, -10.000000, 10.000000, 50.000000, 32.849333, 100.000000, 2
63.000000, -9.699754, 120.879593, -10.000000, 10.000000, 50.000000, 31.866973, 100.000000, 2
64.000000, -8.680199, 124.017791, -10.000000, 10.000000, 50.000000, 30.896998, 100.000000, 2
65.000000, -9.764028, 127.064090, -10.000000, 10.000000, 50.000000, 30.028978, 100.000000, 2
66.000000, -10.035708, 130.018168, -10.000000, 10.000000, 50.000000, 29.052575, 100.000000, 2
67.000000, -9.490925, 132.873247, -10.000000, 10.000000, 50.000000, 28.049004, 100.000000, 2
68.000000, -8.242836, 135.630692, -10.000000, 10.000000, 50.000000, 27.099912, 100.000000, 2
69.000000, -8.630186, 138.299469, -10.000000, 10.000000, 50.000000, 26.275628, 100.000000, 2
70.000000, -9.797594, 140.883881, -10.000000, 10.000000, 50.000000, 25.412610, 100.000000, 2
71.000000, -10.971500, 143.376154, -10.000000, 10.000000, 50.000000, 24.432850, 100.000000, 2
72.000000, -9.433614, 145.764582, -10.000000, 10.000000, 50.000000, 23.335700, 100.000000, 2
73.000000, -10.186004, 148.050984, -10.000000, 10.000000, 50.000000, 22.392339, 100.000000, 2
74.000000, -9.566442, 150.239288, -10.000000, 10.000000, 50.000000, 21.373738, 100.000000, 2
75.000000, -10.845250, 152.328829, -10.000000, 10.000000, 50.000000, 20.417094, 100.000000, 2
76.000000, -10.941457, 154.316312, -10.000000, 10.000000, 50.000000, 19.332569, 100.000000, 2
77.000000, -8.868540, 156.194862, -10.000000, 10.000000, 50.000000, 18.238424, 100.000000, 2
78.000000, -9.065473, 157.974362, -10.000000, 10.000000, 50.000000, 17.351570, 100.000000, 2
79.000000, -8.166260, 159.664191, -10.000000, 10.000000, 50.000000, 16.445022, 100.000000, 2
80.000000, -9.261085, 161.267862, -10.000000, 10.000000, 50.000000, 15.628396, 100.000000, 2
81.000000, -8.864691, 162.784396, -10.000000, 10.000000, 50.000000, 14.702288, 100.000000, 2
82.000000, -10.051475, 164.210302, -10.000000, 10.000000, 50.000000, 13.815819, 100.000000, 2
83.000000, -9.032454, 165.541626, -10.000000, 10.000000, 50.000000, 12.810671, 100.000000, 2
84.000000, -9.980136, 166.777531, -10.000000, 10.000000, 50.000000, 11.907426, 100.000000, 2
85.000000, -10.611958, 167.918373, -10.000000, 10.000000, 50.000000, 10.909412, 100.000000, 2
86.000000, -10.683596, 168.956254, -10.000000, 10.000000, 50.000000, 9.848216, 100.000000, 2
87.000000, -9.235204, 169.887658, -10.000000, 10.000000, 50.000000, 8.779857, 100.000000, 2
88.000000, -10.680014, 170.719468, -10.000000, 10.000000, 50.000000, 7.856336, 100.000000, 2
89.000000, -11.142378, 171.451701, -10.000000, 10.000000, 50.000000, 6.788335, 100.000000, 2
90.000000, -7.969956, 172.074823, -10.000000, 10.000000, 50.000000, 5.674097, 100.000000, 2
91.000000, -6.179447, 172.602383, -10.000000, 10.000000, 50.000000, 4.877102, 100.000000, 2
92.000000, -7.837540, 173.059196, -10.000000, 10.000000, 50.000000, 4.259157, 100.000000, 2
93.000000, -8.306141, 173.445924, -10.000000, 10.000000, 50.000000, 3.475403, 100.000000, 2
94.000000, -8.144831, 173.751933, -10.000000, 10.000000, 50.000000, 2.644789, 100.000000, 2
95.000000, -8.712442, 173.975688, -10.000000, 10.000000, 50.000000, 1.830306, 100.000000, 2
96.000000, -9.352878, 174.115156, -10.000000, 10.000000, 50.000000, 0.959061, 100.000000, 2
97.000000, -9.361542, 174.164298, -10.000000, 10.000000, 50.000000, 0.023774, 100.000000, 2
98.000000, -9.804652, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
99.000000, -8.243742, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
100.000000, -8.191646, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
101.000000, -9.213076, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
102.000000, -9.887742, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
103.000000, -8.133843, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
104.000000, -8.584972, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
105.000000, -9.757474, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
106.000000, -9.692988, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
107.000000, -9.717862, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
108.000000, -8.298327, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
109.000000, -8.540919, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
110.000000, -7.744871, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
111.000000, -8.126220, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
112.000000, -9.473840, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
113.000000, -10.017087, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
114.000000, -10.385098, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
115.000000, -10.359772, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
116.000000, -11.517747, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
117.000000, -10.548870, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
118.000000, -9.314295, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
119.000000, -10.008247, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
120.000000, -8.729731, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
121.000000, -9.420895, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
122.000000, -10.960548, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
123.000000, -9.897011, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
124.000000, -8.279614, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
125.000000, -9.345889, 174.165487, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 2
