x, y, z, bx, by, bz, tx, ty, tz, end_width, LA.vx, LA.vy, LA.vz, LA.end, HA
0.03843862, 0.00074164744, 0.19739963, 0.11264494, 0.082640864, 0.01998953, 0.09409198, -0.0045270817, 0.056431733, 3.4391274e-08, 0.8779802237499464, 0.33770753337772114, -0.9014253226339615, 0.5463156155670701, 0
0.056296617, 0.016253438, 0.1776654, 0.11264482, 0.0826413, 0.019989435, 0.09409198, -0.0045270817, 0.056431733, 0.07027447, 0.7091166005487466, 0.306228662734184, -0.7955863455011198, 0.6256833579717805, 0
0.05702123, 0.02976929, 0.12128286, 0.11264478, 0.082641736, 0.019989418, 0.09409198, -0.0045270817, 0.056431733, 0.07881795, 0.018710993502731754, 0.05427643438267185, -0.5101627302728284, 0.5102187488659148, 0
0.059715044, 0.040248934, 0.07725742, 0.11264516, 0.08264209, 0.019989666, 0.09409198, -0.0045270817, 0.056431733, 0.079856485, 0.49391445069687656, 0.3508298236314985, -0.22476167784831197, 0.9672445897002544, 0
0.06318096, 0.04862689, 0.04703176, 0.112645425, 0.08264209, 0.019989934, 0.09409198, -0.0045270817, 0.056431733, 0.079982676, 0.2636867295157719, -0.1920298656998144, 0.043295350032278385, 0.3898563876729524, 0
0.068642564, 0.05540938, 0.030841187, 0.11264548, 0.0826421, 0.019989986, 0.09409198, -0.0045270817, 0.056431733, 0.07999798, 0.08335101506117623, 0.27133077448494825, -0.09514708944428724, 0.32114908475165066, 0
0.075174086, 0.060926355, 0.024410944, 0.11264549, 0.0826421, 0.019989997, 0.09409198, -0.0045270817, 0.056431733, 0.07999981, 0.1599579840126022, -0.04717351344981624, -0.34623304177546643, 0.9756008639742104, 0
0.080098495, 0.06525877, 0.019871451, 0.11264549, 0.0826421, 0.019989999, 0.09409198, -0.0045270817, 0.056431733, 0.07999993, 0.08841695957868083, 0.0009497022921756137, -0.5104093313747666, 0.684013335395113, 0
0.084124416, 0.06868204, 0.016227238, 0.11264549, 0.0826421, 0.019989999, 0.09409198, -0.0045270817, 0.056431733, 0.07999995, -0.035204112477898675, -0.11014547849092218, -0.3092295259264882, 0.41130434503529695, 0
0.08757206, 0.071400985, 0.013299138, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.080000006, 0.3357480861718514, 0.10220422607860327, -0.07876415276719696, 0.5738562234581395, 0
0.09055535, 0.073562, 0.010934737, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.08, 0.3555382679944503, -0.35366824511122313, 0.08407258575351864, 0.5512783623501296, 0
0.09314532, 0.07528353, 0.009024419, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.08, 0.1033524195940661, 0.19064481236225306, 0.17699806231764745, 0.6209497623253509, 0
0.09540733, 0.07665734, 0.0074783065, 0.11264549, 0.0826421, 0.019989997, 0.09409198, -0.0045270817, 0.056431733, 0.08000024, -0.11200946084439503, -0.07683282341234086, -0.2433301703600871, 0.7494522257078166, 0
0.097394556, 0.077755414, 0.0062369243, 0.11264549, 0.0826421, 0.019989999, 0.09409198, -0.0045270817, 0.056431733, 0.07999917, -0.07304234176041233, 0.2820790926001045, 0.2383284874472578, 0.2983259773218242, 0
0.09914311, 0.07863657, 0.0052361055, 0.11264549, 0.0826421, 0.019989999, 0.09409198, -0.0045270817, 0.056431733, 0.07999914, -0.05307023893798431, 0.014414614352508022, 0.2275478485404621, 0.47231302879164816, 0
0.10070447, 0.07934531, 0.0044737593, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.079998896, 0.11219049100339881, 0.002479193614852564, -0.08785123798082789, 0.6188972101850342, 0
0.10224514, 0.07994018, 0.004223701, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999941, 0.12392314991052637, -0.03716819258198739, 0.32171754905804695, 0.8584195409035827, 0
0.1036157, 0.08042425, 0.004162599, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999962, -0.03405599512874857, 0.18689269713159704, -0.08114090435977453, 0.5552972397134568, 0
0.1048148, 0.08081819, 0.0041533774, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999912, -0.13590482581936902, -0.3922131261582263, -0.07143551674006636, 0.7142669758278826, 0
0.10586785, 0.08114053, 0.0041570105, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999924, 0.3215938427960254, -0.2474391599056746, -0.02918431301529336, 0.16868987582014017, 0
0.106796086, 0.0814056, 0.0041632694, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.080000505, 0.08017449183549737, -0.1468462617624474, -0.1315532415424486, 0.5168447055015833, 0
0.107616164, 0.08162453, 0.0041695503, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999844, 0.2440954279925975, 0.4269428408953997, -0.17064925551713153, 0.5458048014263928, 0
0.10834176, 0.08180665, 0.004175302, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999932, -0.05905090008010616, -0.10141134940900781, 0.22575414198156427, 0.4058059990558204, 1
0.10898454, 0.08195872, 0.0041804216, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.079999186, 0.3477587039633185, 0.48340109783733304, 0.1901472585581621, -0.22262558139596883, 1
0.10955447, 0.08208663, 0.0041849776, 0.11264549, 0.0826421, 0.01999, 0.09409198, -0.0045270817, 0.056431733, 0.07999819, 0.13168059300854945, -0.23584657879197957, -0.07201181309552326, -0.1852431981599017, 1
0.11023034, 0.08220487, 0.0045312517, 0.11296258, 0.081365295, 0.020239899, 0.09409198, -0.0045270817, 0.056431733, 0.03873526, 0.1792868449268059, 0.11969265540815782, -0.02482227159881712, -0.9070234002944477, 1
0.110649645, 0.08200621, 0.004493828, 0.113383636, 0.08112792, 0.020201016, 0.09409198, -0.0045270817, 0.056431733, 0.036245275, -0.08321708448843831, -0.6389456388003449, 0.13813707687743698, -0.6474286623267286, 1
0.10890115, 0.06665854, 0.012267202, 0.111885816, 0.077836536, 0.028386584, 0.09409198, -0.0045270817, 0.056431733, 0.03468656, 0.20287460565704352, -0.31878612331856965, 0.22461160234887598, -0.6790606748057948, 1
0.10866987, 0.051944796, 0.020887325, 0.11153092, 0.061628412, 0.036741957, 0.09409198, -0.0045270817, 0.056431733, 0.034200393, -0.11037523327583795, -0.28765737019850113, 0.08323608567740554, -0.8154846293240007, 1
0.1075548, 0.04040902, 0.027280396, 0.110440195, 0.043681838, 0.04315959, 0.09409198, -0.0045270817, 0.056431733, 0.033936158, -0.0021503736623748465, -0.13638765253033336, 0.36167561115223956, -0.22624370934101157, 1
0.10652597, 0.031106602, 0.032838166, 0.10938303, 0.025802338, 0.048652865, 0.09409198, -0.0045270817, 0.056431733, 0.033858534, -0.10185029977709706, -0.0543822292465693, 0.05627796455106129, -0.6002874220264236, 1
0.105391815, 0.023703557, 0.03732532, 0.10824311, 0.008955368, 0.053117365, 0.09409198, -0.0045270817, 0.056431733, 0.0339406, 0.02744510470806305, -0.17166021445563934, 0.26662760965734644, -0.46603252123341155, 1
0.10429076, 0.017824773, 0.041015334, 0.10713178, 0.00019024513, 0.056780566, 0.09409198, -0.0045270817, 0.056431733, 0.033970445, -0.2556666977525329, -0.47636559174301346, 0.4259363175717954, -0.6843227903586871, 1
0.10323488, 0.013135425, 0.04401394, 0.106066436, -0.0035534126, 0.059760984, 0.09409198, -0.0045270817, 0.056431733, 0.0338886, 0.01240371929735054, -0.40481242414392016, -0.462591369750323, -0.7453141054325387, 1
0.10224575, 0.009411982, 0.046444282, 0.10506716, -0.007290818, 0.062176697, 0.09409198, -0.0045270817, 0.056431733, 0.033882152, -0.16091454439866804, 0.2510360652613373, 0.3343616304638948, -0.6490020829072483, 1
0.101336695, 0.0064831045, 0.048410032, 0.104154356, -0.01093799, 0.064131156, 0.09409198, -0.0045270817, 0.056431733, 0.03390181, 0.028210161871335057, -0.12876547893591678, 0.2975127587778304, -0.36331203342751495, 1
0.10050904, 0.0041794027, 0.049994707, 0.10332483, -0.013612102, 0.06570714, 0.09409198, -0.0045270817, 0.056431733, 0.03391278, 0.25909927014764794, 0.07734673244737572, 0.14226582466964088, -0.22772289560847392, 1
0.099760674, 0.0023612927, 0.05126815, 0.10257544, -0.015357163, 0.066974096, 0.09409198, -0.0045270817, 0.056431733, 0.033901345, -0.2390225000073008, -0.17412189763762234, 0.08319430577349907, -0.36403214864871614, 1
0.0990893, 0.0009391795, 0.052291162, 0.10190364, -0.016960112, 0.06799188, 0.09409198, -0.0045270817, 0.056431733, 0.03390632, -0.10020366036444399, 0.20990892252673932, -0.2072366042865678, -0.3567406553115052, 1
0.09848892, -0.00017855506, 0.05310978, 0.101303235, -0.018102106, 0.06880667, 0.09409198, -0.0045270817, 0.056431733, 0.0339036, -0.07678018697387173, -0.17032128290832818, -0.0777275343256052, -0.8503267231844518, 1
0.09795497, -0.0010504486, 0.053765565, 0.1007695, -0.019051503, 0.06945937, 0.09409198, -0.0045270817, 0.056431733, 0.033904977, 0.1499152571512041, 0.1406776840720524, 0.043350516889034525, -0.619662118266076, 1
0.09748086, -0.0017328754, 0.0542895, 0.10029573, -0.019764349, 0.06998104, 0.09409198, -0.0045270817, 0.056431733, 0.033904377, -0.1989017846422294, -0.01774749233994633, 0.19065770905691246, -0.7203604136276684, 1
0.09706143, -0.0022650422, 0.0547082, 0.099876694, -0.020337502, 0.07039794, 0.09409198, -0.0045270817, 0.056431733, 0.033905245, 0.3077611080051226, 0.013127985137984712, -0.23568401546482162, -0.5458382513485385, 1
0.09669127, -0.0026807822, 0.055043165, 0.09950692, -0.020776246, 0.07073149, 0.09409198, -0.0045270817, 0.056431733, 0.03390537, 0.023208033858094418, -0.012872324744799983, 0.02303576630456931, -0.9770910560410684, 1
0.09636519, -0.0030047002, 0.05531138, 0.099181205, -0.021123571, 0.07099858, 0.09409198, -0.0045270817, 0.056431733, 0.033906005, -0.050341274801806134, 0.23891801656012632, -0.09820988420214156, -0.6823257698511174, 1
0.09607811, -0.0032572448, 0.055525605, 0.09889453, -0.021391975, 0.07121199, 0.09409198, -0.0045270817, 0.056431733, 0.033906408, -0.030394505723636632, 0.08478926906393036, -0.1792542576854255, -0.9900304739727256, 1
0.095825896, -0.0034537516, 0.055696964, 0.09864267, -0.021602497, 0.0713827, 0.09409198, -0.0045270817, 0.056431733, 0.03390695, -0.17617323709749727, 0.045399532151317645, 0.10941361965360029, -0.408220645613777, 1
0.095604576, -0.0036066328, 0.055834267, 0.09842168, -0.021765841, 0.07151949, 0.09409198, -0.0045270817, 0.056431733, 0.033907413, -0.16587444738336654, 0.29324273013515423, 0.31157316343057273, -0.24910481310917265, 1
0.0954106, -0.003725379, 0.05594446, 0.098228, -0.021893248, 0.07162928, 0.09409198, -0.0045270817, 0.056431733, 0.033907853, -0.15353729214540618, 0.013690399705500945, -0.16614145516917878, -0.7586051564226789, 1
0.095240735, -0.0038175292, 0.05603307, 0.098058395, -0.02199217, 0.07171757, 0.09409198, -0.0045270817, 0.056431733, 0.033908244, -0.08858061984952784, -0.09348324555875069, 0.0854061775903256, -0.7094314785052721, 1
