x, y, z, bx, by, bz, tx, ty, tz, end_width, LA.vx, LA.vy, LA.vz, LA.end, HA
0.03843862, 0.00074164744, 0.19739963, -0.017672604, -0.055658024, 0.019986924, -0.024709344, 0.07543732, 0.02, 3.4391274e-08, 0.10658658191998865, -0.14651486791038298, -0.9520441962594256, 0.6841415054508555, 0
0.034672268, -0.010570791, 0.16870055, -0.017673528, -0.055660915, 0.019989124, -0.024709344, 0.07543732, 0.02, 0.07027342, -0.1564880655002207, -0.4515284706037493, -0.9760829011768672, 0.7251061684453436, 0
0.020435212, -0.020061927, 0.1182184, -0.017674565, -0.05566136, 0.019988986, -0.024709344, 0.07543732, 0.02, 0.07881719, -0.20629034725296677, -0.14093548366137512, -0.24089640529222245, 0.5523260033656423, 0
0.0102841, -0.027497023, 0.08076865, -0.017675277, -0.05566079, 0.019989345, -0.024709344, 0.07543732, 0.02, 0.079856016, -0.16918607846829162, -0.053829848111299206, -0.44199091792736317, 0.5526953935187757, 0
0.0032648044, -0.033407543, 0.056423932, -0.017675277, -0.055660263, 0.019989876, -0.024709344, 0.07543732, 0.02, 0.07998238, 0.13282530921881, -0.20710857093940685, -0.3379418831562822, 0.6941421212179699, 0
-0.00093574944, -0.03813928, 0.042268835, -0.017675277, -0.055660162, 0.019989977, -0.024709344, 0.07543732, 0.02, 0.07999777, -0.12109064198905417, -0.2137219591228924, -0.20307698211919703, 0.5473517010473934, 0
-0.0039355634, -0.041894287, 0.033172213, -0.017675277, -0.055660143, 0.019989995, -0.024709344, 0.07543732, 0.02, 0.07999967, -0.12022981387294512, -0.09356653925838047, -0.23913350427911112, 0.5462176059503155, 0
-0.006536422, -0.04484669, 0.02617386, -0.017675277, -0.05566014, 0.019989999, -0.024709344, 0.07543732, 0.02, 0.079999916, -0.2716664785697316, -0.08189133167380544, -0.08495256761204795, 0.4411794141314888, 0
-0.008703163, -0.047167763, 0.020635039, -0.017675277, -0.055660136, 0.019989999, -0.024709344, 0.07543732, 0.02, 0.07999996, -0.11560708620202946, 0.07027962358879328, -0.05717605027697407, 0.9837081767221437, 0
-0.010469075, -0.04899287, 0.016250024, -0.017675277, -0.055660136, 0.01999, -0.024709344, 0.07543732, 0.02, 0.07999997, -0.46331013922351344, -0.12893243187113076, 0.058853735328932205, 0.4987907560445827, 0
