x, y, z, bx, by, bz, tx, ty, tz, end_width, LA.vx, LA.vy, LA.vz, LA.end, HA
0.03843862, 0.00074164744, 0.19739963, 0.0946157, 0.03842021, -0.1774129, -0.07842098, -0.08101458, 0.013460085, 3.4391274e-08, 0.5589808, 0.7541801, -0.045818746, 0.49848318, 0
0.0548462, 0.024069132, 0.19431934, 0.0782114, 0.015093463, -0.17433015, -0.09482856, -0.104342066, 0.016540378, 0.0702739, 0.9598706, -0.4210261, -0.9541791, 0.13207519, 0
0.09213728, 0.034309585, 0.17959876, 0.04092121, 0.0048534684, -0.15960918, -0.13211964, -0.11458252, 0.031260952, 0.07881751, 0.9999987, -0.44716167, -0.99993575, -0.99999917, 0
0.10997447, 0.015216085, 0.123996295, 0.023084834, 0.023947813, -0.10400664, -0.14995684, -0.09548902, 0.08686342, 0.009582141, 1.0, -0.73912656, -0.99999666, -1.0, 0
0.1259364, -0.009148748, 0.065011516, 0.007123202, 0.048312962, -0.045021705, -0.16591877, -0.07112419, 0.1458482, 0.001164962, 0.9999988, -0.55873996, -0.9998746, -0.99999756, 0
0.1359729, -0.033632886, 0.006505229, -0.0029133558, 0.072797075, 0.013484722, -0.17595527, -0.04664005, 0.20435448, 0.00016209432, 0.99999595, 0.79694927, -0.99999005, -0.9999958, 0
0.15516572, -0.020732533, 0.0049086465, -0.022106186, 0.0598967, 0.015081343, -0.19514808, -0.059540402, 0.20595106, 2.119898e-05, 0.9992864, -0.98938125, -0.7389996, 0.62873316, 0
0.16906281, -0.015877094, 0.0062716305, -0.038459837, 0.08225678, 0.0136543475, -0.20904517, -0.064395845, 0.20458809, 0.06982808, -0.9997096, 0.13464117, -0.9991598, 0.99516463, 0
0.15906483, -0.014906707, 0.006191468, -0.031360507, 0.11268664, 0.0137337055, -0.1990472, -0.06536623, 0.20466825, 0.07876349, -0.9967269, 0.6893637, -0.9998008, 0.93693125, 0
0.14515327, 0.009658899, 0.0061718277, -0.020016283, 0.11631073, 0.013804464, -0.18513563, -0.08993183, 0.2046879, 0.07985001, -0.9946121, 0.9525976, -0.9999905, 0.4181869, 0
0.12765476, 0.0464063, 0.0061799553, -0.004339434, 0.10476115, 0.013802089, -0.16763712, -0.12667924, 0.20467976, 0.07998247, -0.46346688, 0.9277524, -0.63269854, 0.99999857, 0
0.11714881, 0.08512803, 0.0059656543, 0.002224259, 0.09729675, 0.01459164, -0.15713117, -0.16540097, 0.20489407, 0.07999628, 0.59624374, 0.81392896, -0.7631783, 0.98649096, 0
0.12612118, 0.11511267, 0.0049231932, -0.013500273, 0.10577885, 0.015032677, -0.16610354, -0.1953856, 0.20593652, 0.0799975, 0.66625905, 0.91720486, -0.8012523, 0.9896314, 0
0.13521007, 0.14349699, 0.004809524, -0.0282237, 0.11182955, 0.015173902, -0.17519243, -0.22376993, 0.20605019, 0.07996615, 0.5167335, 0.8162879, -0.75655293, 0.97596145, 0
0.1391923, 0.17212172, 0.00475627, -0.036919855, 0.113739505, 0.015232362, -0.17917466, -0.25239465, 0.20610344, 0.07999185, -0.07985675, 0.8277359, -0.7042871, 0.9373672, 0
0.13659064, 0.19248496, 0.005201503, -0.038245656, 0.11999522, 0.01478813, -0.17657301, -0.2727579, 0.20565821, 0.07999904, 0.13467479, 0.5950649, -0.7094179, 0.85729957, 0
0.13424267, 0.21528126, 0.0053533353, -0.039138757, 0.11990176, 0.014632475, -0.17422503, -0.2955542, 0.20550638, 0.07999678, -0.339765, 0.66445684, -0.66176957, 0.7697551, 0
0.12826903, 0.23189963, 0.0055608754, -0.035659283, 0.122171536, 0.014170883, -0.1682514, -0.31217256, 0.20529884, 0.07999939, 0.008872867, 0.53062296, -0.54551685, 0.33328342, 0
0.123704486, 0.25281763, 0.0055780564, -0.033045106, 0.1178, 0.008945039, -0.16368684, -0.33309057, 0.20528166, 0.07999911, 0.4786389, -0.8385631, -0.4772575, -0.59431285, 0
0.12797885, 0.24728711, 0.0050206054, -0.039214283, 0.13969107, -0.009090721, -0.16796121, -0.32756004, 0.20583911, 0.009727042, 0.24502349, -0.70631844, -0.37845957, -0.40409946, 0
0.13613605, 0.22332364, 0.0047367676, -0.0492609, 0.17996922, -0.04301192, -0.17611842, -0.3035966, 0.20612295, 0.001182323, 0.17064798, -0.67716527, -0.42393732, -0.36994278, 0
0.14363019, 0.19718665, 0.0046895063, -0.05863805, 0.22236565, -0.09272313, -0.18361256, -0.2774596, 0.20617022, 0.00014359332, -0.16154987, -0.83075714, -0.6846698, -0.45653915, 0
0.14566405, 0.17593616, 0.005004175, -0.06254745, 0.25981104, -0.1582636, -0.18564641, -0.2562091, 0.20585555, 1.7362063e-05, 0.48892748, -0.98483586, -0.6848463, -0.8242985, 0
0.15611337, 0.14110316, 0.0047485284, -0.07486375, 0.31076503, -0.23859645, -0.19609573, -0.22137609, 0.2061112, 2.0462114e-06, 0.5243342, -0.99669135, -0.80908847, -0.61993146, 0
0.16618067, 0.10152837, 0.0046511753, -0.08678839, 0.36637765, -0.33432773, -0.20616303, -0.1818013, 0.20620854, 6.058347e-07, 0.6317494, -0.99885464, -0.8254723, -0.4733045, 0
0.17467886, 0.065431304, 0.0046304837, -0.1019592, 0.42528427, -0.38115516, -0.21466123, -0.14570424, 0.20622924, 7.0084695e-07, 1.0, 1.0, 0.8273318, 0.61658144, 0
0.17735952, 0.050540477, 0.015656976, -0.11422585, 0.46246037, -0.38945338, -0.21734188, -0.13081342, 0.19520274, 0.070273966, -0.6835968, 0.039704442, -0.98630893, 0.96534777, 0
0.17847162, 0.054375034, 0.0070732934, -0.12372409, 0.47879472, -0.38289303, -0.21845399, -0.13464797, 0.20378642, 0.07877999, -0.17106712, 0.9980762, -0.98826134, 0.9414263, 0
0.17756762, 0.065418266, 0.0058336183, -0.1296061, 0.4853795, -0.38603595, -0.21754998, -0.1456912, 0.20502609, 0.079851456, -0.9999676, 0.9863603, -0.99997175, -0.9652159, 0
0.1679987, 0.09657369, 0.00592093, -0.12464868, 0.46741363, -0.3860068, -0.20798106, -0.17684662, 0.20493878, 0.009708464, -0.9999833, 0.9728209, -0.99999535, -0.8614602, 0
0.1522463, 0.14468873, 0.0060140593, -0.11231817, 0.42900652, -0.38603812, -0.19222866, -0.22496167, 0.20484565, 0.001180442, -0.9938007, -0.6563349, -0.7552892, 0.09864998, 0
0.13627967, 0.15674634, 0.0061621144, -0.09854233, 0.42321622, -0.3861752, -0.17626204, -0.23701927, 0.20469761, 0.018511802, -0.9765344, -0.46623307, -0.80329657, -0.5661183, 0
