x, y, z, bx, by, bz, tx, ty, tz, end_width, LA.vx, LA.vy, LA.vz, LA.end, HA
0.03843862, 0.00074164744, 0.19739963, -0.12119466, 0.08690835, -0.1774127, -0.10078646, -0.1422356, -0.09094782, 3.4391274e-08, 1.0, 1.0, -1.0, -1.0, 0
0.08031463, 0.026130369, 0.18872026, -0.1630716, 0.06151674, -0.16873114, -0.14266247, -0.16762432, -0.08226845, -2.8236245e-08, 1.0, 1.0, -0.77088195, 1.0, 0
0.09712725, 0.07228345, 0.13898335, -0.17988527, 0.015363216, -0.11899437, -0.15947509, -0.21377741, -0.032531545, 0.07027385, 1.0, -1.0, 1.0, 1.0, 0
0.09637773, 0.074405305, 0.10051109, -0.17913654, 0.013241217, -0.08052215, -0.15872557, -0.21589926, 0.0059407204, 0.07881752, 1.0, 0.6003623, 1.0, 1.0, 0
0.11247884, 0.075871125, 0.081597485, -0.19523847, 0.011775292, -0.06160856, -0.17482668, -0.21736509, 0.024854325, 0.079856224, 1.0, 1.0, -1.0, 1.0, 0
0.14556038, 0.114166744, 0.054099288, -0.2283208, -0.026520416, -0.034110364, -0.20790823, -0.2556607, 0.05235252, 0.07998255, 0.96095884, -1.0, 1.0, 1.0, 0
0.12493658, 0.12094795, 0.009678549, -0.20769782, -0.03330171, 0.010310375, -0.18728442, -0.2624419, 0.09677326, 0.07999747, 1.0, 0.88101554, 1.0, 1.0, 0
0.1407833, 0.13386644, 0.011258728, -0.22354534, -0.046220295, 0.008730196, -0.20313114, -0.2753604, 0.09519308, 0.07999966, 1.0, 1.0, -1.0, -1.0, 0
0.15604539, 0.17271598, 0.007627913, -0.23880824, -0.08506992, 0.0123610115, -0.21839324, -0.31420994, 0.0988239, 0.00972613, 1.0, 1.0, -1.0, 1.0, 0
0.15875572, 0.2039017, 0.008039909, -0.24151939, -0.11625573, 0.011949015, -0.22110356, -0.34539565, 0.0984119, 0.07145631, 1.0, 1.0, -1.0, 0.5989065, 0
0.15654388, 0.23356308, 0.008922324, -0.23930836, -0.1459172, 0.011066601, -0.21889172, -0.37505704, 0.097529486, 0.07896134, 1.0, 1.0, -1.0, 0.88798106, 0
0.15189028, 0.26001677, 0.009478671, -0.23465556, -0.17237099, 0.010510254, -0.21423812, -0.40151072, 0.096973136, 0.07987379, 1.0, 1.0, -1.0, 0.7672307, 0
0.14570303, 0.2839711, 0.009840887, -0.22846913, -0.1963254, 0.010148037, -0.20805088, -0.42546505, 0.09661092, 0.079984754, 1.0, 1.0, -1.0, 1.0, 0
0.13864696, 0.30562976, 0.010089795, -0.22141387, -0.21798415, 0.009899129, -0.2009948, -0.4471237, 0.09636202, 0.07999693, 1.0, 1.0, -1.0, 1.0, 0
0.13114278, 0.32528666, 0.010261432, -0.21391049, -0.23764114, 0.009727492, -0.19349062, -0.4667806, 0.09619038, 0.07999763, 1.0, 1.0, -1.0, -0.35743022, 0
0.12351356, 0.34311354, 0.010384697, -0.20628208, -0.25546813, 0.009604228, -0.1858614, -0.48460752, 0.096067116, 0.01720273, 1.0, 1.0, -1.0, 1.0, 0
0.11593543, 0.35933706, 0.01047881, -0.19870476, -0.27169174, 0.009510114, -0.17828327, -0.500831, 0.095973, 0.072365485, 1.0, 1.0, -1.0, 1.0, 0
0.10854184, 0.3740984, 0.010555439, -0.19131199, -0.28645316, 0.009433486, -0.17088968, -0.51559234, 0.09589637, 0.079072, 1.0, 1.0, -1.0, 1.0, 0
0.101296894, 0.3877412, 0.010617521, -0.18406785, -0.30009606, 0.009371404, -0.16364473, -0.5292352, 0.095834285, 0.079887435, 1.0, 1.0, -1.0, 1.0, 0
0.094196774, 0.40045482, 0.010669729, -0.17696854, -0.31280977, 0.0093191955, -0.15654461, -0.5419488, 0.09578208, 0.079986535, 1.0, 1.0, -1.0, 1.0, 0
0.087329105, 0.4122195, 0.010714458, -0.17010167, -0.32457453, 0.009274466, -0.14967695, -0.55371344, 0.09573735, 0.07999636, 1.0, 1.0, -1.0, 1.0, 0
0.08068288, 0.42316255, 0.010753042, -0.16345626, -0.33551767, 0.009235882, -0.14303072, -0.5646565, 0.09569877, 0.0799971, 1.0, 1.0, -1.0, 1.0, 0
